url,count
http://discovery.com,73
http://kmart.com,61
http://retailmenot.com,42
http://instagr.am,42
http://adobe.com,34
http://redfin.com,33
http://mediafire.com,31
http://conduit.com,31
http://ancestry.com,30
http://justin.tv,29
http://linkedin.com,24
http://about.com,23
http://1saleaday.com,23
http://zendesk.com,22
http://mlb.com,22
http://ebay.com,21
http://eonline.com,20
http://linksynergy.com,19
http://sourceforge.net,19
http://verizon.com,18
http://imdb.com,17
http://megaclick.com,17
http://hulu.com,16
http://digitalpoint.com,15
http://sidereel.com,14
http://nfl.com,14
http://bizjournals.com,13
http://slideshare.net,12
http://cnn.com,12
http://stubhub.com,11
http://sfgate.com,11
http://filestube.com,10
http://pcworld.com,9
http://macys.com,9
http://city-data.com,9
http://tribalfusion.com,8
http://aa.com,8
http://officedepot.com,8
http://megaupload.com,8
http://yfrog.com,8
http://istockphoto.com,8
http://flickr.com,7
http://techcrunch.com,7
http://secureserver.net,7
http://td.com,7
http://ning.com,7
http://fatwallet.com,7
http://kbb.com,6
http://amazon.com,6
http://nbcsports.com,6
http://slate.com,6
http://livejournal.com,5
http://zillow.com,5
http://stumbleupon.com,5
http://weebly.com,5
http://vistaprint.com,5
http://yelp.com,5
http://live.com,4
http://cnbc.com,3
http://npr.org,3
http://fiverr.com,3
http://nydailynews.com,3
http://comcast.com,3
http://homedepot.com,3
http://amazonaws.com,3
http://photobucket.com,3
http://nih.gov,2
http://realclearpolitics.com,2
http://searchqu.com,2
http://hostgator.com,2
http://ask.com,2
http://hotels.com,1
http://livingrichwithcoupons.com,1
http://outbrain.com,1
http://imageshack.us,1
http://statcounter.com,1
http://goodreads.com,1
http://skype.com,1
http://bp.blogspot.com,1
http://walmart.com,1
http://businessweek.com,1
http://ajc.com,1
http://cox.net,1
